filepaths,labels,data set
train/ampute football/046.jpg,ampute football,train
train/ampute football/047.jpg,ampute football,train
train/ampute football/048.jpg,ampute football,train
train/ampute football/049.jpg,ampute football,train
train/ampute football/050.jpg,ampute football,train
train/ampute football/051.jpg,ampute football,train
train/ampute football/052.jpg,ampute football,train
train/ampute football/053.jpg,ampute football,train
train/ampute football/054.jpg,ampute football,train
train/ampute football/055.jpg,ampute football,train
train/ampute football/056.jpg,ampute football,train
train/ampute football/057.jpg,ampute football,train
train/ampute football/058.jpg,ampute football,train
train/ampute football/059.jpg,ampute football,train
train/ampute football/060.jpg,ampute football,train
train/ampute football/061.jpg,ampute football,train
train/ampute football/062.jpg,ampute football,train
train/ampute football/063.jpg,ampute football,train
train/ampute football/064.jpg,ampute football,train
train/ampute football/065.jpg,ampute football,train
train/ampute football/066.jpg,ampute football,train
train/ampute football/067.jpg,ampute football,train
train/ampute football/068.jpg,ampute football,train
train/ampute football/069.jpg,ampute football,train
train/ampute football/070.jpg,ampute football,train
train/ampute football/071.jpg,ampute football,train
train/ampute football/072.jpg,ampute football,train
train/ampute football/073.jpg,ampute football,train
train/ampute football/074.jpg,ampute football,train
train/ampute football/075.jpg,ampute football,train
train/ampute football/076.jpg,ampute football,train
train/ampute football/077.jpg,ampute football,train
train/ampute football/078.jpg,ampute football,train
train/ampute football/079.jpg,ampute football,train
train/ampute football/080.jpg,ampute football,train
train/ampute football/081.jpg,ampute football,train
train/ampute football/082.jpg,ampute football,train
train/ampute football/083.jpg,ampute football,train
train/ampute football/084.jpg,ampute football,train
train/ampute football/085.jpg,ampute football,train
train/ampute football/086.jpg,ampute football,train
train/ampute football/087.jpg,ampute football,train
train/ampute football/088.jpg,ampute football,train
train/ampute football/089.jpg,ampute football,train
train/ampute football/090.jpg,ampute football,train
train/ampute football/091.jpg,ampute football,train
train/ampute football/092.jpg,ampute football,train
train/ampute football/093.jpg,ampute football,train
train/ampute football/094.jpg,ampute football,train
train/ampute football/095.jpg,ampute football,train
train/ampute football/096.jpg,ampute football,train
train/ampute football/097.jpg,ampute football,train
train/ampute football/098.jpg,ampute football,train
train/ampute football/099.jpg,ampute football,train
train/ampute football/100.jpg,ampute football,train
train/ampute football/101.jpg,ampute football,train
train/ampute football/102.jpg,ampute football,train
train/ampute football/103.jpg,ampute football,train
train/ampute football/104.jpg,ampute football,train
train/ampute football/105.jpg,ampute football,train
train/ampute football/106.jpg,ampute football,train
train/ampute football/107.jpg,ampute football,train
train/ampute football/108.jpg,ampute football,train
train/ampute football/109.jpg,ampute football,train
train/ampute football/110.jpg,ampute football,train
train/ampute football/111.jpg,ampute football,train
train/ampute football/112.jpg,ampute football,train
train/archery/001.jpg,archery,train
train/archery/002.jpg,archery,train
train/archery/003.jpg,archery,train
train/archery/004.jpg,archery,train
train/archery/005.jpg,archery,train
train/archery/006.jpg,archery,train
train/archery/007.jpg,archery,train
train/archery/008.jpg,archery,train
train/archery/009.jpg,archery,train
train/archery/010.jpg,archery,train
train/archery/011.jpg,archery,train
train/archery/012.jpg,archery,train
train/archery/013.jpg,archery,train
train/archery/014.jpg,archery,train
train/archery/015.jpg,archery,train
train/archery/016.jpg,archery,train
train/archery/017.jpg,archery,train
train/archery/018.jpg,archery,train
train/archery/019.jpg,archery,train
train/archery/020.jpg,archery,train
train/archery/021.jpg,archery,train
train/archery/022.jpg,archery,train
train/archery/023.jpg,archery,train
train/archery/024.jpg,archery,train
train/archery/025.jpg,archery,train
train/archery/026.jpg,archery,train
train/archery/027.jpg,archery,train
train/archery/028.jpg,archery,train
train/archery/029.jpg,archery,train
train/archery/030.jpg,archery,train
train/archery/031.jpg,archery,train
train/archery/032.jpg,archery,train
train/archery/033.jpg,archery,train
train/archery/034.jpg,archery,train
train/archery/035.jpg,archery,train
train/archery/036.jpg,archery,train
train/archery/037.jpg,archery,train
train/archery/038.jpg,archery,train
train/archery/039.jpg,archery,train
train/archery/040.jpg,archery,train
train/archery/041.jpg,archery,train
train/archery/042.jpg,archery,train
train/archery/043.jpg,archery,train
train/archery/044.jpg,archery,train
train/archery/045.jpg,archery,train
train/archery/046.jpg,archery,train
train/archery/047.jpg,archery,train
train/archery/048.jpg,archery,train
train/archery/049.jpg,archery,train
train/archery/050.jpg,archery,train
train/archery/051.jpg,archery,train
train/archery/052.jpg,archery,train
train/archery/053.jpg,archery,train
train/archery/054.jpg,archery,train
train/archery/055.jpg,archery,train
train/archery/056.jpg,archery,train
train/archery/057.jpg,archery,train
train/archery/058.jpg,archery,train
train/archery/059.jpg,archery,train
train/archery/060.jpg,archery,train
train/archery/061.jpg,archery,train
train/archery/062.jpg,archery,train
train/archery/063.jpg,archery,train
train/archery/064.jpg,archery,train
train/archery/065.jpg,archery,train
train/archery/066.jpg,archery,train
train/archery/067.jpg,archery,train
train/archery/068.jpg,archery,train
train/archery/069.jpg,archery,train
train/archery/070.jpg,archery,train
train/archery/071.jpg,archery,train
train/archery/072.jpg,archery,train
train/archery/073.jpg,archery,train
train/archery/074.jpg,archery,train
train/archery/075.jpg,archery,train
train/archery/076.jpg,archery,train
train/archery/077.jpg,archery,train
train/archery/078.jpg,archery,train
train/archery/079.jpg,archery,train
train/archery/080.jpg,archery,train
train/archery/081.jpg,archery,train
train/archery/082.jpg,archery,train
train/archery/083.jpg,archery,train
train/archery/084.jpg,archery,train
train/archery/085.jpg,archery,train
train/archery/086.jpg,archery,train
train/archery/087.jpg,archery,train
train/archery/088.jpg,archery,train
train/archery/089.jpg,archery,train
train/archery/090.jpg,archery,train
train/archery/091.jpg,archery,train
train/archery/092.jpg,archery,train
train/archery/093.jpg,archery,train
train/archery/094.jpg,archery,train
train/archery/095.jpg,archery,train
train/archery/096.jpg,archery,train
train/archery/097.jpg,archery,train
train/archery/098.jpg,archery,train
train/archery/099.jpg,archery,train
train/archery/100.jpg,archery,train
train/archery/101.jpg,archery,train
train/archery/102.jpg,archery,train
train/archery/103.jpg,archery,train
train/archery/104.jpg,archery,train
train/archery/105.jpg,archery,train
train/archery/106.jpg,archery,train
train/archery/107.jpg,archery,train
train/archery/108.jpg,archery,train
train/archery/109.jpg,archery,train
train/archery/110.jpg,archery,train
train/archery/111.jpg,archery,train
train/archery/112.jpg,archery,train
train/archery/113.jpg,archery,train
train/archery/114.jpg,archery,train
train/archery/115.jpg,archery,train
train/archery/116.jpg,archery,train
train/archery/117.jpg,archery,train
train/archery/118.jpg,archery,train
train/archery/119.jpg,archery,train
train/archery/120.jpg,archery,train
train/archery/121.jpg,archery,train
train/archery/122.jpg,archery,train
train/archery/123.jpg,archery,train
train/archery/124.jpg,archery,train
train/archery/125.jpg,archery,train
train/archery/126.jpg,archery,train
train/archery/127.jpg,archery,train
train/archery/128.jpg,archery,train
train/archery/129.jpg,archery,train
train/archery/130.jpg,archery,train
train/archery/131.jpg,archery,train
train/archery/132.jpg,archery,train
train/arm wrestling/01.jpg,arm wrestling,train
train/arm wrestling/02.jpg,arm wrestling,train
train/arm wrestling/03.jpg,arm wrestling,train
train/arm wrestling/04.jpg,arm wrestling,train
train/arm wrestling/05.jpg,arm wrestling,train
train/arm wrestling/06.jpg,arm wrestling,train
train/arm wrestling/07.jpg,arm wrestling,train
train/arm wrestling/08.jpg,arm wrestling,train
train/arm wrestling/09.jpg,arm wrestling,train
train/arm wrestling/10.jpg,arm wrestling,train
train/arm wrestling/11.jpg,arm wrestling,train
train/arm wrestling/12.jpg,arm wrestling,train
train/arm wrestling/13.jpg,arm wrestling,train
train/arm wrestling/14.jpg,arm wrestling,train
train/arm wrestling/15.jpg,arm wrestling,train
train/arm wrestling/16.jpg,arm wrestling,train
train/arm wrestling/17.jpg,arm wrestling,train
train/arm wrestling/18.jpg,arm wrestling,train
train/arm wrestling/19.jpg,arm wrestling,train
train/arm wrestling/20.jpg,arm wrestling,train
train/arm wrestling/21.jpg,arm wrestling,train
train/arm wrestling/22.jpg,arm wrestling,train
train/arm wrestling/23.jpg,arm wrestling,train
train/arm wrestling/24.jpg,arm wrestling,train
train/arm wrestling/25.jpg,arm wrestling,train
train/arm wrestling/26.jpg,arm wrestling,train
train/arm wrestling/27.jpg,arm wrestling,train
train/arm wrestling/28.jpg,arm wrestling,train
train/arm wrestling/29.jpg,arm wrestling,train
train/arm wrestling/30.jpg,arm wrestling,train
train/arm wrestling/31.jpg,arm wrestling,train
train/arm wrestling/32.jpg,arm wrestling,train
train/arm wrestling/33.jpg,arm wrestling,train
train/arm wrestling/34.jpg,arm wrestling,train
train/arm wrestling/35.jpg,arm wrestling,train
train/arm wrestling/36.jpg,arm wrestling,train
train/arm wrestling/37.jpg,arm wrestling,train
train/arm wrestling/38.jpg,arm wrestling,train
train/arm wrestling/39.jpg,arm wrestling,train
train/arm wrestling/40.jpg,arm wrestling,train
train/arm wrestling/41.jpg,arm wrestling,train
train/arm wrestling/42.jpg,arm wrestling,train
train/arm wrestling/43.jpg,arm wrestling,train
train/arm wrestling/44.jpg,arm wrestling,train
train/arm wrestling/45.jpg,arm wrestling,train
train/arm wrestling/46.jpg,arm wrestling,train
train/arm wrestling/47.jpg,arm wrestling,train
train/arm wrestling/48.jpg,arm wrestling,train
train/arm wrestling/49.jpg,arm wrestling,train
train/arm wrestling/50.jpg,arm wrestling,train
train/arm wrestling/51.jpg,arm wrestling,train
train/arm wrestling/52.jpg,arm wrestling,train
train/arm wrestling/53.jpg,arm wrestling,train
train/arm wrestling/54.jpg,arm wrestling,train
train/arm wrestling/55.jpg,arm wrestling,train
train/arm wrestling/56.jpg,arm wrestling,train
train/arm wrestling/57.jpg,arm wrestling,train
train/arm wrestling/58.jpg,arm wrestling,train
train/arm wrestling/59.jpg,arm wrestling,train
train/arm wrestling/60.jpg,arm wrestling,train
train/arm wrestling/61.jpg,arm wrestling,train
train/arm wrestling/62.jpg,arm wrestling,train
train/arm wrestling/63.jpg,arm wrestling,train
train/arm wrestling/64.jpg,arm wrestling,train
train/arm wrestling/65.jpg,arm wrestling,train
train/arm wrestling/66.jpg,arm wrestling,train
train/arm wrestling/67.jpg,arm wrestling,train
train/arm wrestling/68.jpg,arm wrestling,train
train/arm wrestling/69.jpg,arm wrestling,train
train/arm wrestling/70.jpg,arm wrestling,train
train/arm wrestling/71.jpg,arm wrestling,train
train/arm wrestling/72.jpg,arm wrestling,train
train/arm wrestling/73.jpg,arm wrestling,train
train/arm wrestling/74.jpg,arm wrestling,train
train/arm wrestling/75.jpg,arm wrestling,train
train/arm wrestling/76.jpg,arm wrestling,train
train/arm wrestling/77.jpg,arm wrestling,train
train/arm wrestling/78.jpg,arm wrestling,train
train/arm wrestling/79.jpg,arm wrestling,train
train/arm wrestling/80.jpg,arm wrestling,train
train/arm wrestling/81.jpg,arm wrestling,train
train/arm wrestling/82.jpg,arm wrestling,train
train/arm wrestling/83.jpg,arm wrestling,train
train/arm wrestling/84.jpg,arm wrestling,train
train/arm wrestling/85.jpg,arm wrestling,train
train/arm wrestling/86.jpg,arm wrestling,train
train/arm wrestling/87.jpg,arm wrestling,train
train/arm wrestling/88.jpg,arm wrestling,train
train/arm wrestling/89.jpg,arm wrestling,train
train/arm wrestling/90.jpg,arm wrestling,train
train/arm wrestling/91.jpg,arm wrestling,train
train/arm wrestling/92.jpg,arm wrestling,train
train/arm wrestling/93.jpg,arm wrestling,train
train/arm wrestling/94.jpg,arm wrestling,train
train/arm wrestling/95.jpg,arm wrestling,train
train/arm wrestling/96.jpg,arm wrestling,train
train/arm wrestling/97.jpg,arm wrestling,train
train/arm wrestling/98.jpg,arm wrestling,train
train/arm wrestling/99.jpg,arm wrestling,train
train/axe throwing/001.jpg,axe throwing,train
train/axe throwing/002.jpg,axe throwing,train
train/axe throwing/003.jpg,axe throwing,train
train/axe throwing/004.jpg,axe throwing,train
train/axe throwing/005.jpg,axe throwing,train
train/axe throwing/006.jpg,axe throwing,train
train/axe throwing/007.jpg,axe throwing,train
train/axe throwing/008.jpg,axe throwing,train
train/axe throwing/009.jpg,axe throwing,train
train/axe throwing/010.jpg,axe throwing,train
train/axe throwing/011.jpg,axe throwing,train
train/axe throwing/012.jpg,axe throwing,train
train/axe throwing/013.jpg,axe throwing,train
train/axe throwing/014.jpg,axe throwing,train
train/axe throwing/015.jpg,axe throwing,train
train/axe throwing/016.jpg,axe throwing,train
train/axe throwing/017.jpg,axe throwing,train
train/axe throwing/018.jpg,axe throwing,train
train/axe throwing/019.jpg,axe throwing,train
train/axe throwing/020.jpg,axe throwing,train
train/axe throwing/021.jpg,axe throwing,train
train/axe throwing/022.jpg,axe throwing,train
train/axe throwing/023.jpg,axe throwing,train
train/axe throwing/024.jpg,axe throwing,train
train/axe throwing/025.jpg,axe throwing,train
train/axe throwing/026.jpg,axe throwing,train
train/axe throwing/027.jpg,axe throwing,train
train/axe throwing/028.jpg,axe throwing,train
train/axe throwing/029.jpg,axe throwing,train
train/axe throwing/030.jpg,axe throwing,train
train/axe throwing/031.jpg,axe throwing,train
train/axe throwing/032.jpg,axe throwing,train
train/axe throwing/033.jpg,axe throwing,train
train/axe throwing/034.jpg,axe throwing,train
train/axe throwing/035.jpg,axe throwing,train
train/axe throwing/036.jpg,axe throwing,train
train/axe throwing/037.jpg,axe throwing,train
train/axe throwing/038.jpg,axe throwing,train
train/axe throwing/039.jpg,axe throwing,train
train/axe throwing/040.jpg,axe throwing,train
train/axe throwing/041.jpg,axe throwing,train
train/axe throwing/042.jpg,axe throwing,train
train/axe throwing/043.jpg,axe throwing,train
train/axe throwing/044.jpg,axe throwing,train
train/axe throwing/045.jpg,axe throwing,train
train/axe throwing/046.jpg,axe throwing,train
train/axe throwing/047.jpg,axe throwing,train
train/axe throwing/048.jpg,axe throwing,train
train/axe throwing/049.jpg,axe throwing,train
train/axe throwing/050.jpg,axe throwing,train
train/axe throwing/051.jpg,axe throwing,train
train/axe throwing/052.jpg,axe throwing,train
train/axe throwing/053.jpg,axe throwing,train
train/axe throwing/054.jpg,axe throwing,train
train/axe throwing/055.jpg,axe throwing,train
train/axe throwing/056.jpg,axe throwing,train
train/axe throwing/057.jpg,axe throwing,train
train/axe throwing/058.jpg,axe throwing,train
train/axe throwing/059.jpg,axe throwing,train
train/axe throwing/060.jpg,axe throwing,train
train/axe throwing/061.jpg,axe throwing,train
train/axe throwing/062.jpg,axe throwing,train
train/axe throwing/063.jpg,axe throwing,train
train/axe throwing/064.jpg,axe throwing,train
train/axe throwing/065.jpg,axe throwing,train
train/axe throwing/066.jpg,axe throwing,train
train/axe throwing/067.jpg,axe throwing,train
train/axe throwing/068.jpg,axe throwing,train
train/axe throwing/069.jpg,axe throwing,train
train/axe throwing/070.jpg,axe throwing,train
train/axe throwing/071.jpg,axe throwing,train
train/axe throwing/072.jpg,axe throwing,train
train/axe throwing/073.jpg,axe throwing,train
train/axe throwing/074.jpg,axe throwing,train
train/axe throwing/075.jpg,axe throwing,train
train/axe throwing/076.jpg,axe throwing,train
train/axe throwing/077.jpg,axe throwing,train
train/axe throwing/078.jpg,axe throwing,train
train/axe throwing/079.jpg,axe throwing,train
train/axe throwing/080.jpg,axe throwing,train
train/axe throwing/081.jpg,axe throwing,train
train/axe throwing/082.jpg,axe throwing,train
train/axe throwing/083.jpg,axe throwing,train
train/axe throwing/084.jpg,axe throwing,train
train/axe throwing/085.jpg,axe throwing,train
train/axe throwing/086.jpg,axe throwing,train
train/axe throwing/087.jpg,axe throwing,train
train/axe throwing/088.jpg,axe throwing,train
train/axe throwing/089.jpg,axe throwing,train
train/axe throwing/090.jpg,axe throwing,train
train/axe throwing/091.jpg,axe throwing,train
train/axe throwing/092.jpg,axe throwing,train
train/axe throwing/093.jpg,axe throwing,train
train/axe throwing/094.jpg,axe throwing,train
train/axe throwing/095.jpg,axe throwing,train
train/axe throwing/096.jpg,axe throwing,train
train/axe throwing/097.jpg,axe throwing,train
train/axe throwing/098.jpg,axe throwing,train
train/axe throwing/099.jpg,axe throwing,train
train/axe throwing/100.jpg,axe throwing,train
train/axe throwing/101.jpg,axe throwing,train
train/axe throwing/102.jpg,axe throwing,train
train/axe throwing/103.jpg,axe throwing,train
train/axe throwing/104.jpg,axe throwing,train
train/axe throwing/105.jpg,axe throwing,train
train/axe throwing/106.jpg,axe throwing,train
train/axe throwing/107.jpg,axe throwing,train
train/axe throwing/108.jpg,axe throwing,train
train/axe throwing/109.jpg,axe throwing,train
train/axe throwing/110.jpg,axe throwing,train
train/axe throwing/111.jpg,axe throwing,train
train/axe throwing/112.jpg,axe throwing,train
train/axe throwing/113.jpg,axe throwing,train
train/balance beam/001.jpg,balance beam,train
train/balance beam/002.jpg,balance beam,train
train/balance beam/003.jpg,balance beam,train
train/balance beam/004.jpg,balance beam,train
train/balance beam/005.jpg,balance beam,train
train/balance beam/006.jpg,balance beam,train
train/balance beam/007.jpg,balance beam,train
train/balance beam/008.jpg,balance beam,train
train/balance beam/009.jpg,balance beam,train
train/balance beam/010.jpg,balance beam,train
train/balance beam/011.jpg,balance beam,train
train/balance beam/012.jpg,balance beam,train
train/balance beam/013.jpg,balance beam,train
train/balance beam/014.jpg,balance beam,train
train/balance beam/015.jpg,balance beam,train
train/balance beam/016.jpg,balance beam,train
train/balance beam/017.jpg,balance beam,train
train/balance beam/018.jpg,balance beam,train
train/balance beam/019.jpg,balance beam,train
train/balance beam/020.jpg,balance beam,train
train/balance beam/021.jpg,balance beam,train
train/balance beam/022.jpg,balance beam,train
train/balance beam/023.jpg,balance beam,train
train/balance beam/024.jpg,balance beam,train
train/balance beam/025.jpg,balance beam,train
train/balance beam/026.jpg,balance beam,train
train/balance beam/027.jpg,balance beam,train
train/balance beam/028.jpg,balance beam,train
train/balance beam/029.jpg,balance beam,train
train/balance beam/030.jpg,balance beam,train
train/balance beam/031.jpg,balance beam,train
train/balance beam/032.jpg,balance beam,train
train/balance beam/033.jpg,balance beam,train
train/balance beam/034.jpg,balance beam,train
train/balance beam/035.jpg,balance beam,train
train/balance beam/036.jpg,balance beam,train
train/balance beam/037.jpg,balance beam,train
train/balance beam/038.jpg,balance beam,train
train/balance beam/039.jpg,balance beam,train
train/balance beam/040.jpg,balance beam,train
train/balance beam/041.jpg,balance beam,train
train/balance beam/042.jpg,balance beam,train
train/balance beam/043.jpg,balance beam,train
train/balance beam/044.jpg,balance beam,train
train/balance beam/045.jpg,balance beam,train
train/balance beam/046.jpg,balance beam,train
train/balance beam/047.jpg,balance beam,train
train/balance beam/048.jpg,balance beam,train
train/balance beam/049.jpg,balance beam,train
train/balance beam/050.jpg,balance beam,train
train/balance beam/051.jpg,balance beam,train
train/balance beam/052.jpg,balance beam,train
train/balance beam/053.jpg,balance beam,train
train/balance beam/054.jpg,balance beam,train
train/balance beam/055.jpg,balance beam,train
train/balance beam/056.jpg,balance beam,train
train/balance beam/057.jpg,balance beam,train
train/balance beam/058.jpg,balance beam,train
train/balance beam/059.jpg,balance beam,train
train/balance beam/060.jpg,balance beam,train
train/balance beam/061.jpg,balance beam,train
train/balance beam/062.jpg,balance beam,train
train/balance beam/063.jpg,balance beam,train
train/balance beam/064.jpg,balance beam,train
train/balance beam/065.jpg,balance beam,train
train/balance beam/066.jpg,balance beam,train
train/balance beam/067.jpg,balance beam,train
train/balance beam/068.jpg,balance beam,train
train/balance beam/069.jpg,balance beam,train
train/balance beam/070.jpg,balance beam,train
train/balance beam/071.jpg,balance beam,train
train/balance beam/072.jpg,balance beam,train
train/balance beam/073.jpg,balance beam,train
train/balance beam/074.jpg,balance beam,train
train/balance beam/075.jpg,balance beam,train
train/balance beam/076.jpg,balance beam,train
train/balance beam/077.jpg,balance beam,train
train/balance beam/078.jpg,balance beam,train
train/balance beam/079.jpg,balance beam,train
train/balance beam/080.jpg,balance beam,train
train/balance beam/081.jpg,balance beam,train
train/balance beam/082.jpg,balance beam,train
train/balance beam/083.jpg,balance beam,train
train/balance beam/084.jpg,balance beam,train
train/balance beam/085.jpg,balance beam,train
train/balance beam/086.jpg,balance beam,train
train/balance beam/087.jpg,balance beam,train
train/balance beam/088.jpg,balance beam,train
train/balance beam/089.jpg,balance beam,train
train/balance beam/090.jpg,balance beam,train
train/balance beam/091.jpg,balance beam,train
train/balance beam/092.jpg,balance beam,train
train/balance beam/093.jpg,balance beam,train
train/balance beam/094.jpg,balance beam,train
train/balance beam/095.jpg,balance beam,train
train/balance beam/096.jpg,balance beam,train
train/balance beam/097.jpg,balance beam,train
train/balance beam/098.jpg,balance beam,train
train/balance beam/099.jpg,balance beam,train
train/balance beam/100.jpg,balance beam,train
train/balance beam/101.jpg,balance beam,train
train/balance beam/102.jpg,balance beam,train
train/balance beam/103.jpg,balance beam,train
train/balance beam/104.jpg,balance beam,train
train/balance beam/105.jpg,balance beam,train
train/balance beam/106.jpg,balance beam,train
train/balance beam/107.jpg,balance beam,train
train/balance beam/108.jpg,balance beam,train
train/balance beam/109.jpg,balance beam,train
train/balance beam/110.jpg,balance beam,train
train/balance beam/111.jpg,balance beam,train
train/balance beam/112.jpg,balance beam,train
train/balance beam/113.jpg,balance beam,train
train/balance beam/114.jpg,balance beam,train
train/balance beam/115.jpg,balance beam,train
train/balance beam/116.jpg,balance beam,train
train/balance beam/117.jpg,balance beam,train
train/balance beam/118.jpg,balance beam,train
train/balance beam/119.jpg,balance beam,train
train/balance beam/120.jpg,balance beam,train
train/balance beam/121.jpg,balance beam,train
train/balance beam/122.jpg,balance beam,train
train/balance beam/123.jpg,balance beam,train
train/balance beam/124.jpg,balance beam,train
train/balance beam/125.jpg,balance beam,train
train/balance beam/126.jpg,balance beam,train
